,Kingdom,Phylum,Class,Order,Family,Genus,Species
ab00049d53c5335d987842af727ab57b,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter_xylosoxidans
b58add4695c6205497c0cdbeede816a3,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Deefgea,Unassigned Deefgea
34be10eff5ed6c065535ee500999b013,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Silvimonas,Silvimonas_terrae
bb9cf8af1d8f7fc672c4bec753175fc6,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Chitinibacter,Chitinibacter_tainanensis
542893882d08b72f52f74ae4a80cc09c,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Unassigned Burkholderia
d11b504f23cfa5013d911a1a1cf7fb5c,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Unassigned Burkholderia
7e7b1130572adc47a0d2b3b4bd9d91a5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_glathei
16469cc40587771b7602fa59352c70ab,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_bryophila
e5701abae521c279d3c45df09d57b2db,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_bryophila
47fae12c17112992123de2015572d6ba,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Unassigned Rhodocyclaceae,Unassigned Rhodocyclaceae
256b8b4468777043438365ce80afc21d,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Unassigned Janthinobacterium
57ef5006312a9662d87d57c1404c1a87,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unassigned Massilia
1bfa5c0bbafb3a1bff066a17234ff32e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unassigned Massilia
e583c466bec1e423da089cb4a74e64c2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Unassigned Janthinobacterium
9edef03db2ec47417a0adcf4f7cbb4f1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned Oxalobacteraceae,Unassigned Oxalobacteraceae
37e52baccd1ddbf9c3c7d5b2a4f97f98,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unassigned Massilia
11f63e800d538ce61113253faf0f0363,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium_lividum
847ef1a2b17a1c61035475b56d24122d,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unassigned Massilia
7fef7ac5a114bcf4f5171add33caac2a,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unassigned Massilia
9a4d0714b9fe2b3ac23f5e0ae4230197,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Unassigned Massilia
b57744bd30af9f7a4d538d0aba27596b,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Unassigned Janthinobacterium
2ae9037e7736d61f1aeb8eddfe368c58,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Unassigned Janthinobacterium
d233cfe7266709431eed1ba34358e272,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned Oxalobacteraceae,Unassigned Oxalobacteraceae
27f8a96a15d77dce6276edea14bcf05a,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned Oxalobacteraceae,Unassigned Oxalobacteraceae
8750b0a90af928f883b002d94836a57e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned Oxalobacteraceae,Unassigned Oxalobacteraceae
084e5e16c98d91e0a7fe95b0a88ad263,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned Oxalobacteraceae,Unassigned Oxalobacteraceae
aca5e4d68b552ba0556873ed98e25d99,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Unassigned Oxalobacteraceae,Unassigned Oxalobacteraceae
