,Kingdom,Phylum,Class,Order,Family,Genus,Species
44d2df836124b3a024baa940060336ea,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
78056058faedd75d706633c5f55a975f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella,Morganella_morganii
fda0746dace4494eb6cfd64b8b7d6036,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,Unassigned Providencia
fbb16115e6a1c5754b8e2f224e0d235f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Providencia,Unassigned Providencia
84ec1399e8ee3618cc0686f28b89dbcb,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
c13d21462f475f158300535d8cbc2097,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
9890541ed53f6fe2fbfc7329d7b6dc81,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
802ee9764e76d0872a9892cdfeb43ef6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
cf5c0e51bd37486974dfdca9d7533b3f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
e8d27e4d6de7b422fe2e4d573ca5c474,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
cd0e1e8fac8c58cae1309c91df340f4f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Unassigned Enterobacteriaceae,Unassigned Enterobacteriaceae
